Channel;OrderDate;Month-Year;OrderQuantity;UnitPrice;UnitCost
In-Store;31/05/2018;2018-05;5;1963;1001
Online;31/05/2018;2018-05;3;3940;3349
Distributor;31/05/2018;2018-05;1;1776;781
Wholesale;31/05/2018;2018-05;8;2325;1465
Distributor;31/05/2018;2018-05;8;1822;1476
Online;31/05/2018;2018-05;5;1039;447
In-Store;31/05/2018;2018-05;4;1193;537
In-Store;31/05/2018;2018-05;5;1816;1525
In-Store;06/01/2018;2018-01;4;3879;2211
In-Store;06/01/2018;2018-01;8;1956;1213
Distributor;06/01/2018;2018-01;6;201;125
In-Store;06/01/2018;2018-01;5;6278;2762
In-Store;06/01/2018;2018-01;5;1052;642
In-Store;06/01/2018;2018-01;6;255;216
In-Store;06/01/2018;2018-01;6;3933;3146
In-Store;06/01/2018;2018-01;3;1112;701
In-Store;06/01/2018;2018-01;3;1240;905
In-Store;06/01/2018;2018-01;4;985;394
In-Store;06/01/2018;2018-01;4;5581;4130
Online;06/01/2018;2018-01;4;3095;1795
Wholesale;06/01/2018;2018-01;4;2278;1754
In-Store;06/02/2018;2018-02;7;992;654
In-Store;06/02/2018;2018-02;2;3980;3064
Distributor;06/02/2018;2018-02;3;1970;867
In-Store;06/02/2018;2018-02;1;268;131
Online;06/02/2018;2018-02;7;174;96
In-Store;06/02/2018;2018-02;3;2988;2510
In-Store;06/02/2018;2018-02;4;4000;2680
Distributor;06/02/2018;2018-02;3;5976;2450
In-Store;06/02/2018;2018-02;5;2901;2379
In-Store;06/03/2018;2018-03;7;6077;2735
Online;06/03/2018;2018-03;7;5735;4187
Online;06/03/2018;2018-03;3;3920;2077
Online;06/03/2018;2018-03;1;6084;3833
Wholesale;06/03/2018;2018-03;5;2566;1642
Distributor;06/03/2018;2018-03;2;2278;1093
In-Store;06/03/2018;2018-03;1;261;120
Online;06/03/2018;2018-03;8;998;699
In-Store;06/03/2018;2018-03;6;3497;1959
In-Store;06/03/2018;2018-03;4;1132;487
In-Store;06/03/2018;2018-03;7;2405;1587
Distributor;06/03/2018;2018-03;8;5702;3250
Distributor;06/04/2018;2018-04;1;2452;1447
In-Store;06/04/2018;2018-04;3;3095;2012
Online;06/04/2018;2018-04;4;3866;2165
Distributor;06/04/2018;2018-04;8;2305;1383
Online;06/04/2018;2018-04;3;3196;1470
Online;06/04/2018;2018-04;7;6452;5162
Distributor;06/05/2018;2018-05;3;2003;922
Distributor;06/05/2018;2018-05;8;3638;1455
In-Store;06/05/2018;2018-05;3;2278;1822
Online;06/05/2018;2018-05;6;925;582
Online;06/05/2018;2018-05;5;3926;3062
Distributor;06/05/2018;2018-05;4;3826;2257
Wholesale;06/05/2018;2018-05;3;2258;1377
Distributor;06/06/2018;2018-06;8;1112;756
Online;06/06/2018;2018-06;8;3558;1814
Online;06/06/2018;2018-06;3;2372;1233
Online;06/06/2018;2018-06;1;858;686
In-Store;06/07/2018;2018-07;5;3893;2881
In-Store;06/07/2018;2018-07;6;3477;1391
Online;06/07/2018;2018-07;5;3739;2804
Online;06/07/2018;2018-07;5;1072;590
In-Store;06/07/2018;2018-07;7;2258;1761
Online;06/07/2018;2018-07;3;1059;752
Online;06/07/2018;2018-07;4;2492;1296
In-Store;06/07/2018;2018-07;5;3853;2466
Distributor;06/08/2018;2018-08;8;241;133
